season,round,official,source,drivers,teams,status,message
2024,12,2024 — FORMULA 1 QATAR AIRWAYS BRITISH GRAND PRIX 2024,fastf1,20,10,ok,
2024,13,2024 — FORMULA 1 HUNGARIAN GRAND PRIX 2024,fastf1,20,10,ok,
2024,14,2024 — FORMULA 1 ROLEX BELGIAN GRAND PRIX 2024,fastf1,20,10,ok,
2024,15,2024 — FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2024,fastf1,20,10,ok,
2024,16,2024 — FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2024,fastf1,20,10,ok,
2024,17,2024 — FORMULA 1 QATAR AIRWAYS AZERBAIJAN GRAND PRIX 2024,fastf1,20,10,ok,
2024,18,2024 — FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2024,fastf1,20,10,ok,
2024,19,2024 — FORMULA 1 PIRELLI UNITED STATES GRAND PRIX 2024,fastf1,20,10,ok,
2024,20,2024 — FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2024,fastf1,20,10,ok,
2024,21,2024 — FORMULA 1 LENOVO GRANDE PRÊMIO DE SÃO PAULO 2024,fastf1,20,10,ok,
2024,22,2024 — FORMULA 1 HEINEKEN SILVER LAS VEGAS GRAND PRIX 2024,fastf1,20,10,ok,
2024,23,2024 — FORMULA 1 QATAR AIRWAYS QATAR GRAND PRIX 2024,fastf1,20,10,ok,
2024,24,2024 — FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2024,fastf1,20,10,ok,
2025,1,2025 — FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025,fastf1,20,10,ok,
2025,2,2025 — FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025,fastf1,20,10,ok,
2025,3,2025 — FORMULA 1 LENOVO JAPANESE GRAND PRIX 2025 ,fastf1,20,10,ok,
2025,4,2025 — FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2025,fastf1,20,10,ok,
2025,5,2025 — FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2025,fastf1,20,10,ok,
2025,6,2025 — FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2025,fastf1,20,10,ok,
2025,7,2025 — FORMULA 1 AWS GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2025,fastf1,20,10,ok,
2025,8,2025 — FORMULA 1 TAG HEUER GRAND PRIX DE MONACO 2025,fastf1,20,10,ok,
2025,9,2025 — FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025,fastf1,19,10,ok,
2025,10,2025 — FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2025,fastf1,20,10,ok,
2025,11,2025 — FORMULA 1 MSC CRUISES AUSTRIAN GRAND PRIX 2025,fastf1,20,10,ok,
2025,12,2025 — FORMULA 1 QATAR AIRWAYS BRITISH GRAND PRIX 2025,fastf1,20,10,ok,
2025,13,2025 — FORMULA 1 MOËT & CHANDON BELGIAN GRAND PRIX 2025,fastf1,20,10,ok,
2025,14,2025 — FORMULA 1 LENOVO HUNGARIAN GRAND PRIX 2025,fastf1,20,10,ok,
2025,15,2025 — FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2025,fastf1,20,10,ok,
2025,16,2025 — FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2025,none,0,0,no_results,
2025,17,2025 — FORMULA 1 QATAR AIRWAYS AZERBAIJAN GRAND PRIX 2025,none,0,0,no_results,
2025,18,2025 — FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2025,none,0,0,no_results,
2025,19,2025 — FORMULA 1 MSC CRUISES UNITED STATES GRAND PRIX 2025,none,0,0,no_results,
2025,20,2025 — FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2025,none,0,0,no_results,
2025,21,2025 — FORMULA 1 MSC CRUISES GRANDE PRÊMIO DE SÃO PAULO 2025,none,0,0,no_results,
2025,22,2025 — FORMULA 1 HEINEKEN LAS VEGAS GRAND PRIX 2025,none,0,0,no_results,
2025,23,2025 — FORMULA 1 QATAR AIRWAYS QATAR GRAND PRIX 2025,none,0,0,no_results,
2025,24,2025 — FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2025 ,none,0,0,no_results,
2021,1,2021 — FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2021,none,0,0,no_results,
2021,2,2021 — FORMULA 1 PIRELLI GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA ROMAGNA 2021,none,0,0,no_results,
2021,3,2021 — FORMULA 1 HEINEKEN GRANDE PRÉMIO DE PORTUGAL 2021,none,0,0,no_results,
2021,4,2021 — FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2021,none,0,0,no_results,
2021,5,2021 — FORMULA 1 GRAND PRIX DE MONACO 2021,none,0,0,no_results,
2021,6,2021 — FORMULA 1 AZERBAIJAN GRAND PRIX 2021,none,0,0,no_results,
2021,7,2021 — FORMULA 1 EMIRATES GRAND PRIX DE FRANCE 2021,none,0,0,no_results,
2021,8,2021 — FORMULA 1 BWT GROSSER PREIS DER STEIERMARK 2021,none,0,0,no_results,
2021,9,2021 — FORMULA 1 BWT GROSSER PREIS VON ÖSTERREICH 2021,none,0,0,no_results,
2021,10,2021 — FORMULA 1 PIRELLI BRITISH GRAND PRIX 2021,none,0,0,no_results,
2021,11,2021 — FORMULA 1 ROLEX MAGYAR NAGYDÍJ 2021,none,0,0,no_results,
2021,12,2021 — FORMULA 1 ROLEX BELGIAN GRAND PRIX 2021,none,0,0,no_results,
2021,13,2021 — FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2021,none,0,0,no_results,
2021,14,2021 — FORMULA 1 HEINEKEN GRAN PREMIO D’ITALIA 2021,none,0,0,no_results,
2021,15,2021 — FORMULA 1 VTB RUSSIAN GRAND PRIX 2021,none,0,0,no_results,
2021,16,2021 — FORMULA 1 ROLEX TURKISH GRAND PRIX 2021,none,0,0,no_results,
2021,17,2021 — FORMULA 1 ARAMCO UNITED STATES GRAND PRIX 2021,none,0,0,no_results,
2021,18,2021 — FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2021,none,0,0,no_results,
2021,19,2021 — FORMULA 1 HEINEKEN GRANDE PRÊMIO DE SÃO PAULO 2021,none,0,0,no_results,
2021,20,2021 — FORMULA 1 OOREDOO QATAR GRAND PRIX 2021,none,0,0,no_results,
2021,21,2021 — FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2021,none,0,0,no_results,
2021,22,2021 — FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2021,none,0,0,no_results,
