season,Equipo,Puntos F1GOAT (Temporada),puntos_total,factor,gps_disputados
1979,Williams,75.32,112.97999999999999,0.6666666666666666,15
1982,Ligier,64.02,96.03,0.6666666666666666,15
1983,Renault,76.8,115.19999999999999,0.6666666666666667,15
1985,Ferrari,75.469,120.75,0.6250020703933747,16
1985,Spirit,50.8,15.24,3.333333333333333,3
1987,AGS,60.462,78.6,0.7692366412213741,13
1987,Tyrrell,65.606,104.97,0.6249976183671525,16
1990,McLaren,81.731,130.76999999999998,0.6249980882465398,16
1990,Williams,76.613,122.58000000000001,0.6250040789688366,16
1995,McLaren,70.624,120.06,0.58823921372647,17
1995,Williams,79.359,134.91,0.5882366021792306,17
1998,Ferrari,82.763,132.42000000000002,0.6250037758646729,16
1999,Ferrari,82.219,131.55,0.6250019004180919,16
2000,McLaren,84.229,143.19,0.5882324184649766,17
2000,Williams,73.182,124.41000000000003,0.5882324571979743,17
2002,McLaren,77.171,131.19,0.5882384328073786,17
2002,Williams,81.476,138.51,0.5882318966139629,17
2004,Toyota,68.617,123.50999999999999,0.555558254392357,18
2006,Red Bull Racing,67.6,121.68,0.5555555555555555,18
2007,Super Aguri,63.812,108.48,0.5882374631268437,17
2011,Ferrari,80.826,153.57000000000002,0.5263137331510059,19
1959,Epperly,68.7,6.87,10.0,1
1959,Moore,73.2,7.32,10.0,1
1959,Tec-Mec,66.0,6.6,10.0,1
1991,Team Lotus,60.788,97.26,0.6250051408595516,16
1992,Team Lotus,65.681,105.09,0.6249976210866875,16
1993,McLaren,74.25,118.8,0.625,16
1993,Williams,84.112,134.57999999999998,0.6249962847377025,16
2016,Renault,62.857,132.0,0.4761893939393939,21
2017,Red Bull Racing,77.21,154.42,0.5,20
2019,Haas F1 Team,67.49,141.73000000000002,0.4761871163479855,21
2019,Sauber,68.81,144.49999999999997,0.47619377162629767,21
1994,Jordan,68.913,110.25999999999999,0.6250045347360784,16
1950,Milano,45.6,4.56,10.000000000000002,1
1951,Sauber,80.697,56.488,1.4285688995892933,7
1951,Kurtis Kraft,67.7,6.77,10.000000000000002,1
1951,Watson,36.6,3.66,10.0,1
1952,HWM,66.585,39.95099999999999,1.6666666666666667,6
1955,Stevens,55.0,5.5,10.0,1
1956,BRM,60.35,12.07,5.0,2
1957,Maserati,75.123,52.58599999999999,1.428574145209752,7
1957,Dunn,48.6,4.86,10.0,1
1961,Emeryson,36.875,7.375,5.0,2
1963,BRM,77.134,77.134,1.0,10
1963,Brabham,76.74,76.74,1.0,10
1965,Brabham-BRM,71.27,71.27000000000001,0.9999999999999998,10
1965,RE,38.6,3.86,10.0,1
1966,Ferrari,79.129,55.39,1.4285791659144251,7
1967,Honda,79.067,71.16,1.111115795390669,9
1967,Cooper-ATS,61.8,6.18,10.0,1
1968,Matra,71.19,71.19,1.0,10
1969,Brabham-Ford,76.764,84.44,0.9090952155376598,11
1970,McLaren-Ford,72.533,87.03999999999999,0.8333295036764706,12
1970,McLaren-Alfa Romeo,66.12,33.06,2.0,5
1971,Matra,75.03,75.03,1.0,10
1972,BRM,62.735,75.28200000000001,0.8333333333333333,12
1972,Brabham,66.483,79.78,0.8333291551767361,12
1972,Surtees,64.979,77.97500000000001,0.8333311958961205,12
1973,McLaren,77.893,116.83999999999999,0.6666638137624102,15
1973,Ensign,56.229,39.36,1.4285823170731706,7
1975,Shadow-Ford,70.436,98.61000000000001,0.714288611702667,14
1976,Boro,59.4,29.7,2.0,5
1978,Arrows,66.8,100.20000000000002,0.6666666666666665,15
1979,Ferrari,82.2,123.3,0.6666666666666667,15
1980,Ligier,76.929,107.7,0.7142896935933147,14
1981,Team Lotus,68.588,102.882,0.6666666666666666,15
1983,Toleman,67.1,100.64999999999999,0.6666666666666666,15
1985,McLaren,77.381,123.81,0.624997980776997,16
1985,RAM,56.908,73.98,0.769234928359016,13
1985,Williams,75.975,121.56,0.6249999999999999,16
1986,Benetton,70.8,113.28,0.625,16
1987,Larrousse,63.22,94.83,0.6666666666666666,15
1988,Ligier,57.514,80.52000000000001,0.7142821659215102,14
1988,Rial,63.0,100.79999999999998,0.6250000000000001,16
1988,Dallara,61.457,86.04000000000002,0.7142840539284052,14
1989,Dallara,65.588,104.94,0.6250047646274061,16
1989,Ligier,61.736,86.42999999999999,0.7142890200161981,14
1989,Rial,61.09,30.545,2.0,5
1990,Ferrari,78.769,126.03,0.6250019836546854,16
1995,Ferrari,77.488,131.73,0.5882335079328931,17
1997,Stewart,64.8,110.16,0.5882352941176471,17
1998,McLaren,83.606,133.76999999999998,0.6249981311205801,16
1998,Williams,77.4,123.84,0.625,16
1999,McLaren,81.0,129.6,0.625,16
1999,Williams,72.131,115.41,0.6249978338098952,16
2000,Ferrari,82.8,140.76,0.5882352941176471,17
2001,Arrows,64.076,108.92999999999998,0.5882309740200129,17
2002,Ferrari,85.412,145.19999999999996,0.5882369146005512,17
2008,BMW Sauber,80.083,144.14999999999998,0.5555532431494972,18
2008,Toyota,74.233,133.62,0.5555530609190241,18
2009,BMW Sauber,71.682,121.86,0.5882323978335795,17
2009,Toyota,74.1,125.96999999999998,0.5882352941176471,17
2010,Virgin,56.258,106.89,0.5263167742539059,19
2011,McLaren,82.374,156.51000000000002,0.5263178071688709,19
2011,Williams,64.247,122.07000000000002,0.5263127713606945,19
2012,Lotus F1,76.155,152.30999999999997,0.5000000000000001,20
2012,Marussia,57.545,115.08999999999999,0.5000000000000001,20
1959,Porsche,71.0,21.3,3.333333333333333,3
1960,Phillips,82.2,8.22,10.0,1
1960,Cooper-Castellotti,66.15,26.459999999999997,2.5000000000000004,4
1993,Ferrari,71.025,113.64,0.625,16
1994,Team Lotus,61.594,98.55000000000001,0.6250025367833586,16
2019,Mercedes,86.1,180.80999999999997,0.4761904761904762,21
2006,Toro Rosso,65.95,118.71000000000001,0.5555555555555556,18
2017,Toro Rosso,67.965,135.93000000000004,0.4999999999999999,20
1991,Jordan,68.475,109.55999999999997,0.6250000000000001,16
1992,Jordan,58.987,94.37999999999998,0.6249947022674297,16
1996,Jordan,73.781,118.05,0.6249978822532826,16
1997,Jordan,73.535,125.01,0.5882329413646907,17
2022,Aston Martin,68.955,151.7,0.4545484508899143,22
1951,Talbot-Lago,68.99,48.293000000000006,1.4285714285714284,7
1951,Schroeder,56.1,5.61,10.0,1
1952,Bromme,48.0,4.8,10.0,1
1952,Alta,67.5,13.5,5.0,2
1953,Del Roy,35.3,3.53,10.0,1
1953,Kuzma,64.97,6.497,10.0,1
1954,Kuzma,74.85,7.485,9.999999999999998,1
1955,Cooper,62.4,6.24,10.0,1
1956,Lesovsky,68.4,6.84,10.000000000000002,1
1956,Bugatti,60.6,6.06,10.0,1
1957,Ferrari,79.919,55.943,1.428579089430313,7
1957,Connaught,74.1,7.41,9.999999999999998,1
1958,Epperly,79.05,7.905,10.0,1
1962,Gilby,51.1,10.219999999999999,5.000000000000001,2
1963,Cooper-Climax,73.9,73.89999999999999,1.0000000000000002,10
1963,Scirocco,53.364,37.355,1.4285637799491366,7
1963,Stebro,59.2,5.92,10.0,1
1964,Brabham-BRM,69.087,55.269999999999996,1.2499909535009952,8
1967,McLaren-Ford,73.8,14.76,5.0,2
1968,Cooper-BRM,67.425,80.91,0.8333333333333334,12
1975,Lola,65.6,19.68,3.333333333333333,3
1975,Penske,67.14,67.13999999999999,1.0000000000000002,10
1975,Tyrrell,73.914,103.48,0.7142829532276769,14
1977,March,61.603,98.565,0.6249987318013493,16
1977,Wolf,76.906,130.73999999999998,0.5882361939727705,17
1978,Renault,66.171,92.64,0.7142810880829016,14
1979,Brabham-Alfa Romeo,66.854,86.91,0.7692325394085836,13
1980,Ensign,61.2,55.08,1.1111111111111112,9
1980,McLaren,67.464,94.45,0.7142826892535733,14
1980,Williams,79.95,111.92999999999999,0.7142857142857144,14
1981,Sauber,69.98,104.97,0.6666666666666667,15
1982,Ferrari,75.181,120.28999999999999,0.624997921689251,16
1983,ATS,64.457,90.23999999999998,0.7142841312056738,14
1983,Osella,54.585,70.96000000000001,0.7692361894024802,13
1983,Theodore,60.785,79.02,0.7692356365477094,13
1985,Ligier,67.18,100.77000000000001,0.6666666666666666,15
1986,Arrows,65.888,105.42,0.6250047429330299,16
1988,Coloni,59.925,47.94,1.25,8
1988,McLaren,86.213,137.94,0.6250036247643903,16
1988,Williams,68.944,110.31000000000002,0.6250022663403136,16
1989,McLaren,81.9,131.04,0.6250000000000001,16
1989,Williams,76.294,122.07000000000001,0.6250020480052428,16
1989,Coloni,54.525,21.81,2.5,4
1990,Leyton House,63.857,89.39999999999999,0.7142841163310962,14
1995,Footwork,62.1,105.57000000000002,0.588235294117647,17
2001,BAR,71.7,121.88999999999999,0.5882352941176472,17
2001,Benetton,66.988,113.88000000000001,0.5882332279592553,17
2001,Jaguar,66.988,113.88000000000001,0.5882332279592553,17
2003,McLaren,78.694,125.91,0.6250019855452308,16
2003,Williams,81.056,129.68999999999997,0.6249980723263168,16
2006,Ferrari,81.867,147.36,0.5555578175895766,18
2008,Honda,66.367,119.46000000000001,0.5555583458898377,18
2011,Red Bull Racing,86.116,163.61999999999995,0.5263170761520598,19
2011,HRT,54.283,97.71000000000001,0.5555521440998874,18
2012,Sauber,69.6,139.20000000000002,0.4999999999999999,20
1991,Brabham,63.488,101.58,0.6250049222287852,16
1992,Brabham,57.11,17.133,3.3333333333333335,3
1993,Footwork,65.719,105.15,0.6250023775558725,16
1994,Minardi,63.994,102.39000000000001,0.6250024416446918,16
1994,Sauber,65.037,104.06,0.6249951950797618,16
2017,Ferrari,82.835,165.67,0.5,20
2022,Alpine F1 Team,73.75,162.25000000000003,0.4545454545454545,22
2023,Haas F1 Team,65.527,144.16000000000003,0.45454356270810203,22
2023,Sauber,66.15,145.53000000000003,0.4545454545454545,22
1960,Aston Martin,60.1,12.02,5.0,2
2024,Haas F1 Team,69.025,165.66000000000005,0.4166666666666666,24
1950,Olson,46.2,4.62,10.0,1
1951,Marchese,56.4,5.64,10.0,1
1952,Maserati,62.925,37.755,1.6666666666666665,6
1952,Simca,65.64,32.82,2.0,5
1952,Trevis,58.2,5.82,10.0,1
1954,Nichels,60.6,6.06,10.0,1
1955,Lancia,75.55,22.665,3.3333333333333335,3
1956,Cooper,65.4,6.54,10.0,1
1957,Phillips,71.4,7.14,10.000000000000002,1
1958,Kurtis Kraft,58.16,5.816,10.0,1
1958,Watson,67.35,6.735,9.999999999999998,1
1961,Lotus-Climax,62.994,50.394999999999996,1.2500049608096042,8
1961,JBW,41.05,8.209999999999999,5.0,2
1962,Lola,69.189,62.269999999999996,1.1111128954552754,9
1962,LDS,67.8,6.78,10.0,1
1963,ATS,55.956,50.36000000000001,1.111119936457506,9
1964,Lotus-BRM,67.162,67.162,1.0,10
1964,Lotus-Climax,78.52,78.52,1.0,10
1965,Brabham-Ford,67.5,6.75,10.0,1
1965,Sauber,69.6,6.96,10.0,1
1966,McLaren-Serenissima,69.4,13.879999999999999,5.000000000000001,2
1966,Honda,74.2,22.26,3.333333333333333,3
1967,Ferrari,79.86,79.86,1.0,10
1967,Lotus-Ford,77.844,70.06,1.111104767342278,9
1968,Matra-Ford,81.375,97.64999999999999,0.8333333333333334,12
1968,McLaren-BRM,66.257,46.38,1.4285683484260456,7
1971,March-Ford,66.382,73.02000000000001,0.9090933990687482,11
1973,Tyrrell,79.425,119.13699999999999,0.6666694645660038,15
1973,Shadow,62.027,80.635,0.7692317231971229,13
1974,Ferrari,78.56,117.84,0.6666666666666666,15
1975,Parnelli,67.25,80.7,0.8333333333333333,12
1976,Ferrari,79.56,119.33999999999999,0.6666666666666667,15
1977,Brabham,72.3,122.91000000000001,0.588235294117647,17
1977,Fittipaldi,65.957,92.34,0.7142841672081437,14
1977,Surtees,66.053,112.29,0.5882358179713242,17
1977,BRM,56.4,11.28,5.0,2
1978,Martini,65.52,32.76,2.0,5
1981,Renault,73.22,109.83,0.6666666666666666,15
1985,Tyrrell,66.3,106.07999999999998,0.6250000000000001,16
1985,Lola,53.4,21.36,2.5,4
1986,Team Lotus,73.744,117.99000000000001,0.6250021188236291,16
1987,Ferrari,73.2,117.12,0.625,16
1988,Euro Brun,56.067,67.28,0.8333382877526754,12
1988,Zakspeed,56.605,56.60500000000001,0.9999999999999998,10
1989,Zakspeed,53.4,10.68,5.0,2
1990,Larrousse,64.669,103.47,0.6250024161592732,16
1998,Prost,66.262,106.01999999999998,0.6249952839086966,16
1998,Tyrrell,62.906,100.65,0.624997516145057,16
1999,Prost,69.619,111.39000000000001,0.6250022443666396,16
2001,Minardi,61.041,103.77,0.58823359352414,17
2001,Sauber,72.035,122.46,0.5882328923730198,17
2005,McLaren,79.626,151.29000000000002,0.5263137021614118,19
2005,Williams,72.979,138.66,0.5263161690465887,19
2006,BMW Sauber,72.283,130.11,0.5555529936207824,18
2006,Toyota,71.35,128.43,0.5555555555555555,18
2010,HRT,55.468,105.38999999999999,0.5263117942878832,19
2010,Red Bull Racing,83.147,157.98000000000002,0.5263134573996708,19
2013,Red Bull Racing,83.779,159.18,0.5263161201155924,19
2014,Caterham,58.747,99.87000000000002,0.5882347051166515,17
2014,McLaren,75.884,144.18,0.526314329310584,19
2014,Williams,78.316,148.79999999999998,0.5263172043010753,19
2015,McLaren,64.926,123.36,0.5263132295719845,19
2015,Williams,77.247,146.77,0.5263132792805069,19
2024,Sauber,63.213,151.71,0.41666996242831716,24
1959,Cooper-Climax,78.453,62.762,1.250007966603996,8
1959,Lesovsky,64.75,6.475,10.0,1
1959,Cooper-Borgward,65.7,13.14,5.0,2
1960,Maserati,60.467,18.14,3.33335170893054,3
1960,Trevis,72.3,7.23,9.999999999999998,1
1992,March,61.65,98.63999999999999,0.6250000000000001,16
1993,Larrousse,65.494,104.78999999999999,0.6250023857238286,16
1994,Benetton,75.019,120.03000000000002,0.6250020828126301,16
2016,Manor Marussia,59.171,124.25999999999998,0.4761870272010302,21
2020,Red Bull Racing,79.429,135.03,0.588232244686366,17
2021,Mercedes,82.705,181.95000000000002,0.4545479527342676,22
2022,Ferrari,81.191,178.62,0.4545459634979286,22
2008,Toro Rosso,68.967,124.14000000000001,0.5555582406959884,18
2009,Toro Rosso,64.659,109.92,0.5882368995633188,17
2018,Toro Rosso,66.405,139.45,0.47619218357834353,21
2022,AlphaTauri,67.886,149.35,0.4545430197522598,22
1950,Moore,70.8,7.08,10.0,1
1952,AFM,65.25,13.05,5.0,2
1952,Cooper,72.538,43.523,1.6666590078808903,6
1953,BMW,57.0,5.7,10.0,1
1956,Maserati,72.873,51.010999999999996,1.428574229087844,7
1957,BRM,69.9,20.97,3.333333333333334,3
1961,Lotus-Maserati,55.8,5.58,10.0,1
1962,Lotus-Climax,69.179,62.261,1.1111128957132073,9
1962,Lotus-BRM,63.783,38.269999999999996,1.6666579566239876,6
1962,Team Lotus,58.4,5.84,10.0,1
1968,McLaren,72.9,14.58,5.0,2
1969,Cooper-Maserati,73.8,7.38,10.0,1
1969,Brabham-Climax,60.0,6.0,10.0,1
1971,March-Alfa Romeo,62.137,49.709999999999994,1.2499899416616376,8
1971,McLaren,67.818,74.60000000000001,0.9090884718498659,11
1972,Connew,51.6,5.16,10.0,1
1973,Team Lotus,79.207,118.80999999999999,0.6666694722666442,15
1974,March,63.053,94.58,0.6666631423133855,15
1976,March,66.575,106.52000000000001,0.625,16
1976,Wolf,57.879,81.03,0.7142910033320992,14
1980,Sauber,65.721,92.01,0.7142810564069123,14
1981,Ensign,61.909,86.673,0.7142824178233129,14
1981,McLaren,69.727,104.59,0.6666698537145043,15
1981,Williams,80.36,120.54000000000002,0.6666666666666665,15
1982,Brabham,71.06,106.59000000000002,0.6666666666666666,15
1982,Fittipaldi,61.4,55.26,1.1111111111111112,9
1984,ATS,62.244,99.59,0.625002510292198,16
1984,Osella,57.819,92.51,0.6250027024105502,16
1985,Team Lotus,78.713,125.94000000000001,0.6250039701445131,16
1986,Lola,63.581,101.72999999999999,0.6249975425144992,16
1986,Tyrrell,66.75,106.80000000000001,0.6249999999999999,16
1986,AGS,51.6,10.32,5.0,2
1987,March,59.737,95.57999999999998,0.6249947687800796,16
1988,Minardi,61.907,86.66999999999999,0.7142840659974617,14
1989,Minardi,63.825,102.11999999999999,0.6250000000000001,16
1996,Ferrari,76.8,122.88000000000001,0.6249999999999999,16
1997,Ferrari,77.418,131.60999999999999,0.5882379758377024,17
2003,Minardi,63.713,101.94000000000001,0.6250049048459878,16
2003,Sauber,69.581,111.32999999999998,0.6249977544237852,16
2005,BAR,72.865,123.86999999999999,0.588237668523452,17
2005,Renault,81.537,154.92000000000002,0.5263168086754454,19
2006,Super Aguri,59.017,106.23000000000002,0.5555586934011107,18
2007,Red Bull Racing,68.947,117.21,0.5882347922532207,17
2012,Caterham,60.48,120.96000000000001,0.49999999999999994,20
2012,McLaren,77.685,155.37,0.5,20
2012,Williams,67.86,135.72,0.5,20
1959,Sutton,37.5,3.75,10.0,1
1991,Ferrari,74.4,119.03999999999999,0.6250000000000001,16
1991,Fondmetal,60.3,36.18,1.6666666666666665,6
1992,Ferrari,68.7,109.92,0.625,16
1992,Fondmetal,57.3,74.49000000000001,0.769230769230769,13
1994,McLaren,71.831,114.93,0.6249978247628991,16
1994,Williams,79.481,127.17,0.6249980341275457,16
2017,Mercedes,85.905,171.80999999999997,0.5000000000000001,20
2021,Alpine F1 Team,73.145,160.92000000000002,0.45454262987820027,22
2023,McLaren,75.177,165.39000000000001,0.45454380555051693,22
2023,Williams,66.232,145.70999999999998,0.45454670235399086,22
2019,Toro Rosso,70.405,147.85,0.4761920865742307,21
2025,Aston Martin,69.36,104.03999999999999,0.6666666666666667,15
1959,Aston Martin,71.55,28.619999999999997,2.5,4
1993,Jordan,61.594,98.55,0.6250025367833587,16
1995,Jordan,72.018,122.42999999999998,0.5882381769174223,17
2000,Jordan,71.259,121.14,0.5882367508667657,17
2002,Jordan,68.441,116.35000000000001,0.5882337773957885,17
2010,Force India,67.626,128.49,0.526313331776792,19
2013,Force India,68.589,130.32,0.5263121546961326,19
2025,Haas F1 Team,67.44,101.16,0.6666666666666666,15
1950,Maserati,66.889,46.821999999999996,1.4285805817777968,7
1950,Simca,68.2,20.46,3.3333333333333335,3
1950,Snowberger,47.4,4.74,10.0,1
1951,Deidt,67.3,6.73,9.999999999999998,1
1951,ERA,73.8,7.38,10.0,1
1952,Veritas,61.857,18.557000000000002,3.333351296006897,3
1953,Ferrari,78.838,63.07000000000001,1.2500079276993814,8
1953,Connaught,60.175,36.105000000000004,1.6666666666666663,6
1954,Ferrari,74.689,59.751,1.2500041840303928,8
1954,Connaught,61.08,6.108,10.0,1
1955,Kurtis Kraft,66.14,6.614,10.0,1
1956,Gordini,65.814,32.907,2.0,5
1956,Emeryson,48.0,4.8,10.0,1
1957,Kuzma,68.25,6.825,10.0,1
1958,Lesovsky,58.5,5.85,10.0,1
1961,BRM,71.175,56.940000000000005,1.2499999999999998,8
1962,ENB,57.6,5.76,10.0,1
1964,BRM,74.49,74.49,1.0,10
1965,Cooper-Climax,71.588,71.588,1.0,10
1966,Shannon,57.0,5.7,10.0,1
1967,Brabham-Climax,71.16,35.58,2.0,5
1967,Cooper-Maserati,72.435,79.679,0.9090852043825851,11
1967,Eagle-Weslake,74.233,66.81,1.1111061218380482,9
1968,Brabham-Repco,71.104,85.325,0.8333313800175798,12
1974,Parnelli,66.3,13.26,5.0,2
1975,Ferrari,80.679,112.94999999999997,0.7142895086321382,14
1976,Ligier,72.45,115.92000000000002,0.6249999999999999,16
1976,Parnelli,70.8,14.16,5.0,2
1976,Kojima,72.6,7.26,10.0,1
1977,Team Lotus,73.606,125.13000000000001,0.588236234316311,17
1981,ATS,60.511,54.46,1.1111090708777085,9
1981,Osella,62.52,62.52,1.0,10
1981,Theodore,65.585,85.25999999999999,0.7692352803190242,13
1982,Tyrrell,70.106,112.17,0.6249977712400819,16
1983,Sauber,67.12,100.68,0.6666666666666666,15
1984,McLaren,80.569,128.91000000000003,0.6250019393375222,16
1984,RAM,57.1,85.64999999999999,0.6666666666666667,15
1984,Williams,66.863,106.98,0.6250046737707983,16
1986,Brabham,66.206,105.92999999999999,0.6249976399509111,16
1987,Ligier,61.207,91.80999999999997,0.6666702973532297,15
1988,Larrousse,63.225,101.16000000000003,0.6249999999999999,16
1989,Larrousse,60.656,97.05,0.6249974240082432,16
1990,Euro Brun,51.667,15.5,3.3333548387096776,3
1997,Arrows,66.265,112.65,0.5882379050155349,17
2004,Ferrari,85.283,153.51,0.5555533841443555,18
2007,Spyker,58.429,99.33,0.588231148696265,17
2008,McLaren,81.45,146.61,0.5555555555555555,18
2008,Williams,69.517,125.12999999999998,0.5555582194517702,18
2009,McLaren,73.253,124.53000000000002,0.5882357664819722,17
2009,Williams,72.565,123.36,0.5882376783398184,17
2010,Ferrari,79.784,151.58999999999997,0.5263144006860612,19
2013,Ferrari,79.374,150.80999999999997,0.5263178834294808,19
2025,Sauber,66.92,100.38000000000001,0.6666666666666666,15
1959,Kurtis Kraft,62.59,12.518,5.0,2
1959,Watson,74.55,7.455,10.0,1
1960,Vanwall,62.4,6.24,10.0,1
2016,Haas F1 Team,66.057,138.72,0.476189446366782,21
2016,Sauber,61.519,129.19,0.47619010759346697,21
2018,McLaren,67.843,142.47000000000003,0.4761914789078402,21
2018,Williams,64.114,134.64,0.4761883541295307,21
2019,Renault,70.905,148.9,0.4761920752182673,21
2020,Ferrari,72.794,123.75000000000001,0.5882343434343433,17
2022,Red Bull Racing,83.986,184.77,0.45454348649672566,22
2014,Toro Rosso,68.984,131.07,0.526314183260853,19
2015,Toro Rosso,70.537,134.02,0.5263169676167736,19
2020,AlphaTauri,72.212,122.76,0.588237210817856,17
2001,Jordan,72.653,123.51,0.5882357703829649,17
2020,Racing Point,75.776,128.82000000000002,0.5882316410495263,17
2025,Kick Sauber,66.92,100.38000000000002,0.6666666666666665,15
2024,McLaren,83.512,200.42999999999998,0.4166641720301353,24
2024,Williams,64.938,155.85,0.41666987487969204,24
1950,Sauber,83.333,50.0,1.66666,6
1950,Kurtis Kraft,64.5,6.45,10.0,1
1950,Watson,44.3,4.43,10.0,1
1951,Kuzma,65.4,6.54,10.0,1
1952,Lesovsky,65.4,6.54,10.0,1
1952,OSCA,57.0,5.7,10.0,1
1953,Schroeder,56.4,5.64,10.0,1
1954,Schroeder,44.0,4.4,10.0,1
1955,Maserati,72.247,43.348000000000006,1.6666743563716893,6
1955,Pawl,57.6,5.76,10.0,1
1955,Trevis,54.3,5.43,10.0,1
1957,Porsche,65.2,6.52,10.000000000000002,1
1958,Vanwall,77.072,69.365,1.1111079074461185,9
1961,Cooper-Maserati,60.847,36.507999999999996,1.6666757970855706,6
1961,Gilby,58.2,5.82,10.0,1
1964,Brabham-Climax,75.34,75.34,1.0,10
1966,Brabham-Repco,80.367,72.33,1.1111157196184156,9
1967,BRM,71.204,78.324,0.9090955518104284,11
1969,Eagle-Climax,64.8,6.48,9.999999999999998,1
1974,BRM,60.773,91.15999999999998,0.6666630100921458,15
1974,Brabham,69.573,104.36,0.6666634725948639,15
1974,Iso Marlboro,62.02,93.02999999999999,0.6666666666666667,15
1974,Surtees,59.986,83.97999999999999,0.7142891164562992,14
1974,Amon,49.5,9.9,5.0,2
1975,Team Lotus,65.364,91.51,0.7142825920664408,14
1976,BRM,52.8,5.28,9.999999999999998,1
1976,Fittipaldi,62.54,93.81,0.6666666666666666,15
1976,Surtees,63.653,95.48,0.6666631755341432,15
1977,Ferrari,78.529,133.5,0.5882322097378276,17
1978,Ensign,61.625,73.95,0.8333333333333333,12
1978,McLaren,68.538,109.661,0.6249988601234714,16
1978,Williams,70.65,113.03999999999999,0.6250000000000001,16
1978,Hesketh,46.8,4.68,10.0,1
1979,ATS,60.457,84.64,0.7142840264650283,14
1980,Renault,72.579,101.61000000000001,0.7142899320932977,14
1982,March,59.538,77.39999999999998,0.7692248062015505,13
1982,Toleman,59.509,65.46000000000001,0.9090895203177511,11
1985,Arrows,70.65,113.04000000000002,0.6249999999999999,16
1986,Ligier,73.594,117.74999999999999,0.6250021231422506,16
1987,Brabham,64.631,103.41000000000001,0.6249975824388356,16
1988,Benetton,74.719,119.54999999999998,0.6250020911752405,16
1989,Benetton,69.056,110.49000000000001,0.6249977373517964,16
1990,Osella,59.6,53.63999999999999,1.1111111111111114,9
1998,Arrows,62.981,100.77,0.6249975191029077,16
1999,Arrows,61.837,98.93999999999998,0.6249949464321812,16
2001,McLaren,79.094,134.46,0.5882344191581138,17
2001,Williams,76.729,130.43999999999997,0.5882321373811715,17
2003,BAR,70.5,112.80000000000001,0.6249999999999999,16
2003,Jaguar,69.769,111.63000000000002,0.6250022395413418,16
2003,Renault,76.331,122.13,0.6249979530009008,16
2005,Minardi,62.984,119.67,0.5263140302498538,19
2005,Sauber,70.974,134.85,0.5263181312569523,19
2013,Lotus F1,76.595,145.53,0.5263175977461692,19
2013,Marussia,58.263,110.69999999999999,0.5263143631436314,19
2014,Sauber,63.237,120.15,0.5263171036204743,19
2015,Sauber,68.368,129.9,0.5263125481139337,19
1959,Dunn,62.4,6.24,10.0,1
1959,Maserati,61.075,24.43,2.5,4
1960,Cooper-Climax,75.207,67.68599999999999,1.111116035812428,9
1960,Lesovsky,75.6,7.56,10.0,1
2021,Ferrari,78.955,173.70000000000002,0.45454807138744957,22
2022,Mercedes,81.373,179.02,0.4545469779912859,22
2016,Toro Rosso,68.448,143.73999999999998,0.4761931264783637,21
2021,AlphaTauri,72.136,158.70000000000002,0.4545431632010081,22
2011,Force India,71.242,135.36,0.5263150118203309,19
2023,Racing Bulls,66.805,146.97,0.4545485473225829,22
2024,RB,68.587,164.60999999999999,0.41666362918413224,24
1950,Marchese,69.0,6.9,10.0,1
1951,Veritas,57.0,5.7,10.0,1
1952,Deidt,45.0,4.5,10.0,1
1952,Stevens,55.45,5.545,10.0,1
1952,ERA,59.8,17.94,3.333333333333333,3
1953,Gordini,66.66,53.327999999999996,1.25,8
1954,Gordini,67.294,53.834999999999994,1.2500046438190768,8
1954,Pankratz,67.2,6.72,10.0,1
1955,Phillips,61.2,6.12,10.0,1
1956,Ferrari,78.427,54.899,1.4285688263902805,7
1956,Connaught,67.533,20.26,3.3333168805528133,3
1957,Lesovsky,56.55,5.655,9.999999999999998,1
1958,Kuzma,54.12,5.412,10.0,1
1963,Ferrari,74.477,74.477,1.0,10
1963,Lotus-Ford,66.0,6.6,10.0,1
1966,BRM,74.256,66.83,1.1111177614843633,9
1967,Brabham-Repco,80.882,88.97,0.9090929526806789,11
1967,LDS-Climax,72.6,7.26,10.0,1
1968,Brabham-Climax,66.0,6.6,10.0,1
1968,Cooper-Maserati,64.2,6.42,10.0,1
1968,Eagle-Weslake,69.72,34.86,2.0,5
1970,De Tomaso,63.933,57.54,1.1111053180396246,9
1970,March,72.628,94.416,0.7692340281308253,13
1972,Ferrari,74.7,89.63999999999999,0.8333333333333335,12
1975,Maki,45.8,4.58,10.0,1
1977,Boro,61.2,6.12,10.0,1
1978,Shadow,62.167,93.25,0.6666702412868633,15
1978,Tyrrell,68.063,108.90000000000002,0.6250045913682276,16
1979,Fittipaldi,64.12,96.17999999999999,0.6666666666666667,15
1980,Team Lotus,66.757,93.46000000000001,0.7142841857479135,14
1981,Ligier,69.24,103.86000000000001,0.6666666666666665,15
1984,Toleman,65.906,105.45000000000003,0.6249976292081554,16
1985,Minardi,56.8,85.2,0.6666666666666666,15
1985,Sauber,62.794,100.46999999999998,0.6250024883049667,16
1986,Zakspeed,59.25,94.80000000000001,0.6249999999999999,16
1987,Osella,56.057,78.48,0.7142838939857289,14
1988,Team Lotus,70.519,112.83000000000001,0.6250022157227687,16
1989,Team Lotus,66.36,99.53999999999999,0.6666666666666667,15
1990,Brabham,59.287,94.85999999999999,0.6249947290744255,16
